Topic,Review
0,"I use this app all the time and overall I'd recommend, but it's a bit buggy of late, seemingly after every android update. Pausing during tracks like it's buffering, control buttons disappearing, refusing to pause or shut down. Reinstall of the app usually fixes it, but no one wants to be doing that every time and all tracks are forgotten when you do"
0,"Worked great up until a month or so ago when songs or podcasts started randomly stopping. Also my pause/play buttons don't always show and I have to force quit the app to get it to respond properly. Makes the app nearly impossible to use, and I am a heavy user. I've deleted & re-download the app to and fix it, which did the trick for half a day. Will change my rating to 5/5 when this is fixed."
0,"So buggy on Android! Mostly during podcasts, it may sometimes dissapear on the notifications bar, so not allow me to control it. Will forget where the episode is and start from the beginning for no reason, will stop mid episode for a few seconds randomly. I've had to force stop, or close and reopen the app so many times to reset it, it's unreal. I'm on a Galaxy S20 on the latest Android 12, but this has been happening on previous versions too.Also, please time your ads better during a podcast"
1,I hate this app like there is a couple times when the Wi-Fi is strong but then it's still having problems working like it has its times when it doesn't work the way it's supposed to meaning the music won't work or the music will glitch which is why I hate this app other than that it's a pretty bad app it even shows lyrics which is good if you want to learn the lyrics of the song. I really hate the ads especially after like 5 minutes it goes to having three ads and everytime please fix that.
1,"The app lies. I tried listening to an ad to get 30 minutes ad free, and got an ad 4 minutes later. Update: Now it doesn't do the 30 minutes ad free at all. This app is such a pain to listen to music."
1,Hey the ads really sucks man i cant afford premium so dont i have right to get good music expwrience i am not asking you to make spotify ads free but the service is really bad i am listening a song then an ad then another song then again ad🥵😭😡
2,Been paying for premium for months and months use Spotify daily but recently the apps been working poorly the play bar is hidden half the time forcing me to restart the app several times just to fix it and without the bar I cant pause skip or see what's playing FIX IT it's doing it on all my devices so I know it's not just this phone doing it
2,"Never had problems like I've had for the last 3 months, it lags stops playing shuts down the app, freezes. An now on my new phone 4 days old, I will be playing music an pull down the top bar an it may or may not have a direct link to Spotify showing but it's gonna say the music is paused an the album pic that will be showing is from the last song that I searched an played. Click on this an it may or may not connect you to Spotify. Man 7~8 months ago when I first started using the app"
2,*update* after transferring to my SD card....today (2 days after) Spotify is in the process of transferring all downloads back to internal storage even though my SD card has more available space!!! Fix this issue Storage on SD card When will you fix the issue with transferring data to SD cards? Every single time I transfer storage to my SD card the app crashes. It's been like this for years now. Fix this dang issue
3,"Rn I am unable to pause, skip & play music in my spotify playlist. I usually had that bar that allows you to pause, play & skip to the next song when you minimize the spotify app to have music play in the background but its not there anymore. If I play a song from my playlist the next song in that playlist does not play for some reason. Or if I want to pause a song that is playing I'd have to close the app entirely. I have this problem whether I use my earbuds or not. I've never had this problem"
3,"Not having a very well thought out options bar, having an easier way of searching for any of your songs within your downloaded music.. without seeing the online results or anything but songs or artists. Also the fact you cant remove a song from a playlist when you're on the main pop up menu of a currently playing song. Instead I have to literally scroll down my entire playlist to select remove from playlist!??? I enjoy having a streaming platform like spotify. But changes need to happen."
3,"One of the most annoying music playing apps ever, why are there limited skips, if I don't like a song I cant skip it if I don't have enough skips, also if I search up a song and want to play it I won't let me unless I add it to my Playlist, and even then it won't work because Spotify adds songs to your Playlist for no reason, which wouldn't be much of a problem if the default wasn't on shuffle to play music in your Playlist, this app is way to complicated to use and I would not recommend at all"
4,I have paid for the premium version since 2016. Since then the quality of this app has gone down hill. The older it gets the worse it is. I have had my account hacked twice (2019 and 2020) and to top that off this app can't seem to play 5 songs in a row with out having issues. Part of the reason I pay for the {lack of} service is for the offline feature as I use an old phone attacked to a radio for work music but even though I pay for the offline features they do not work 99.9% if the time.
4,"Premium customer for nearly a decade but it seems a bit ridiculous to pay $10 a month for an app with such awful load times, ignored bugs (which are mentioned in nearly every 1 star review) and routine crashes. I feel like for everytime this app is rendered useless, we should receive a credit on our accounts or something. I literally paid $10 for an icon on my phone last month. Maybe a better development and security team is needed, who knows."
4,"Spotify pls help me!!! I logged out of my acc so when I tried to log in again I realised that I forgot my password, after trying I clicked join without psw and since I wasn't getting any link to my email I kept or redoing it, now it says ""too many attempt try again later"" what shud I do?!! How shud I reset it?! Spotify pls tell me what I shud do"
5,"THE NEW UPDATE WAS HORRIBLE. I can no longer pick a song from my playlist, And the skips are now limited??? The new update is stupid."
5,"Getting worse by every update so laggy and even tho i have premium i cant listen music when i dont connected to internet, my whole library wont update and be useable without internet even when i opened offline mode"
5,"I constantly have to re-download all my music. When I find something new to download, and I have a subscription, and phone has room, it always just spins and doesn't DL. I follow all the steps recommended and in the end I have to reinstall it, re download everything. F*$king pain in the a$$. If it didn't have such a large download limit, I'd have gone with YouTube instead. I miss Google music."
