run_date,topic_id,topic,count
2026-06-07 10:43:33,0,0_not_properly_loading_stories,50
2026-06-07 10:43:33,1,1_failing_refresh_feed_keeps,50
2026-06-07 10:43:33,2,2_reels_instagram_whenever_crashing,50
2026-06-07 10:43:33,3,3_cannot_after_my_log,50
2026-06-07 10:43:33,4,4_finish_videos_uploading_never,50
2026-06-07 10:43:33,5,5_delayed_messages_arrive_and,28
2026-06-07 10:43:33,6,6_delayed_messages_arrive_and,22
2026-06-07 13:37:45,0,0_the_and_to_it,165
2026-06-07 13:37:45,1,1_the_instagram_and_to,97
2026-06-07 13:37:45,2,2_it_to_my_in,24
2026-06-07 15:03:17,0,0_app working_use app_reinstall_tried uninstalling,62
2026-06-07 15:03:17,1,1_refresh_bug_works_message,62
2026-06-07 15:03:17,2,2_instagram_app_apps_working instagram,34
2026-06-07 15:03:17,3,3_reinstall_error_glitching_latest version,30
2026-06-07 15:03:17,4,4_worst app_app_app use_doesn work,24
2026-06-07 15:03:17,5,5_fix issue_doesn load_reinstalled_working instagram,23
2026-06-07 15:03:17,6,6_instagram_bug_post instagram_reinstall,20
2026-06-07 15:03:17,7,7_fix problem_instagram app_using instagram_having problem,15
2026-06-07 18:02:41,0,0_app working_use app_reinstall_tried uninstalling,62
2026-06-07 18:02:41,1,1_refresh_bug_works_message,62
2026-06-07 18:02:41,2,2_instagram_app_apps_working instagram,34
2026-06-07 18:02:41,3,3_reinstall_error_glitching_latest version,30
2026-06-07 18:02:41,4,4_worst app_app_app use_doesn work,24
2026-06-07 18:02:41,5,5_fix issue_doesn load_reinstalled_working instagram,23
2026-06-07 18:02:41,6,6_instagram_bug_post instagram_reinstall,20
2026-06-07 18:02:41,7,7_fix problem_instagram app_using instagram_having problem,15
2026-06-07 18:30:41,0,0_keeps crashing_crashing_crashing open_reels instagram,50
2026-06-07 18:30:41,1,1_loading properly_stories loading_loading_properly stories,50
2026-06-07 18:30:41,2,2_update log_account update_update_account,50
2026-06-07 18:30:41,3,3_failing feed_keeps failing_feed refresh_refresh keeps,50
2026-06-07 18:30:41,4,4_finish uploading_videos finish_uploading videos_uploading,50
2026-06-07 18:30:41,5,5_messages delayed_delayed_delayed arrive_messages,28
2026-06-07 18:30:41,6,6_messages delayed_delayed_delayed arrive_arrive messages,22
2026-06-10 11:13:38,0,0_keeps crashing_crashing_crashing open_reels instagram,50
2026-06-10 11:13:38,1,1_loading properly_stories loading_loading_properly stories,50
2026-06-10 11:13:38,2,2_update log_account update_update_account,50
2026-06-10 11:13:38,3,3_failing feed_keeps failing_feed refresh_refresh keeps,50
2026-06-10 11:13:38,4,4_finish uploading_videos finish_uploading videos_uploading,50
2026-06-10 11:13:38,5,5_messages delayed_delayed_delayed arrive_messages,28
2026-06-10 11:13:38,6,6_messages delayed_delayed_delayed arrive_arrive messages,22
2026-06-29 08:00:11,0,0_play pause_playback_songs podcasts_app stops,50
2026-06-29 08:00:11,1,1_spotify premium_spotify_spotify free_listen music,43
2026-06-29 08:00:11,2,2_spotify app_phone spotify_use spotify_spotify,37
2026-06-29 08:00:11,3,3_app music_spotify_skip song_songs play,34
2026-06-29 08:00:11,4,4_spotify_spotify pls_subscription_download,31
2026-06-29 08:00:11,5,5_downloaded music_song annoying_listen music_play songs,25
2026-06-29 08:35:00,0,0_play pause_playback_songs podcasts_app stops,50
2026-06-29 08:35:00,1,1_spotify premium_spotify_spotify free_listen music,43
2026-06-29 08:35:00,2,2_spotify app_phone spotify_use spotify_spotify,37
2026-06-29 08:35:00,3,3_app music_spotify_skip song_songs play,34
2026-06-29 08:35:00,4,4_spotify_spotify pls_subscription_download,31
2026-06-29 08:35:00,5,5_downloaded music_song annoying_listen music_play songs,25
2026-06-29 11:02:42,0,0_play pause_playback_songs podcasts_app stops,50
2026-06-29 11:02:42,1,1_spotify premium_spotify_spotify free_listen music,43
2026-06-29 11:02:42,2,2_spotify app_phone spotify_use spotify_spotify,37
2026-06-29 11:02:42,3,3_app music_spotify_skip song_songs play,34
2026-06-29 11:02:42,4,4_spotify_spotify pls_subscription_download,31
2026-06-29 11:02:42,5,5_downloaded music_song annoying_listen music_play songs,25
